Epoch,AverageEpRet,MaxEpRet,MinEpRet,AverageEpCost1,MaxEpCost1,MinEpCost1,AverageEpCost2,MaxEpCost2,MinEpCost2,CumulativeCost1,CumulativeCost2,CostRate1,CostRate2,AverageLossPi,StdLossPi,MaxLossPi,MinLossPi,AverageLossQR1,StdLossQR1,MaxLossQR1,MinLossQR1,AverageLossQC1,StdLossQC1,MaxLossQC1,MinLossQC1,AverageLossQC2,StdLossQC2,MaxLossQC2,MinLossQC2,AveragePiEntropy,StdPiEntropy,MaxPiEntropy,MinPiEntropy,TotalTime
45,-172842780,-67184182.58,-661593728.3,61113.34,88297.49656,5701.134576,1178.8826,1178.8826,1178.8826,432374,1260060.9,9399.434783,27392.62772,50626416,4106434.2,66416860,43934390,1.13272E+12,1.37583E+12,6.74209E+12,2.05924E+11,3282.1113,4692.637,37920.37,342.67838,198039,185380.11,1385855.9,29860.635,-185.10863,8.244908,-166.65163,-211.87012,508.3622112
46,-163683760,-66069032.32,-649379950.4,2451.6599,29555.47784,228.7101805,1626.4904,1626.4904,1626.4904,438645,1261687.2,9332.87234,26844.40957,49548216,4331408.5,66227508,43303830,1.19695E+12,1.38152E+12,6.32698E+12,1.93612E+11,3718.6438,5814.4976,35234.402,393.8816,174764.95,174429.88,1264737.2,18405.332,-177.70718,7.845768,-157.44153,-202.4066,519.9875035
47,-187527230,-68550027.28,-672658521.3,3821.7528,30845.48839,356.5232571,13397.189,13397.189,13397.189,446441,1275084.5,9300.854167,26564.26042,47959796,3294995.2,65304132,42606350,1.27013E+12,1.50522E+12,6.9594E+12,2.15292E+11,2938.147,3472.69,29032.871,429.79102,201930.86,169182.75,922892.3,17103.498,-168.13895,7.099632,-147.19238,-185.47223,531.6781285
48,-194444130,-67649703.94,-677751261.9,34247.486,61191.39468,3194.875727,17650.17,17650.17,17650.17,454495,1292734.6,9275.408163,26382.33929,45743476,2325630.2,56841544,41169452,1.15559E+12,1.27427E+12,7.33987E+12,1.80546E+11,2978.2488,3759.4402,29661.99,441.4706,198244.27,149556.97,840133.44,17097.316,-154.8085,7.962676,-132.98268,-176.49257,543.2572539
49,-186092770,-67277332.42,-666440942.7,68105.918,94970.25441,6353.457428,20672.92,20672.92,20672.92,461935,1313407.6,9238.7,26268.1525,45388964,2916687.5,62981984,40760240,1.24706E+12,1.45542E+12,7.94782E+12,1.74239E+11,3466.6704,4290.303,27240.678,429.17834,194548.84,149227.88,819793,23807.22,-154.71448,5.399008,-143.01701,-172.35092,554.967463
50,-176636500,-67026210.12,-653954349.6,98900.67,125685.6879,9226.234883,4476.3784,4476.3784,4476.3784,469413,1317884,9204.176471,25840.86275,44489436,2276110,53050908,39901332,1.19113E+12,1.32411E+12,8.5648E+12,2.08368E+11,2684.3528,3189.927,23994.178,343.46115,201174.98,171375.89,1037782.94,23959.602,-153.95381,5.7864704,-134.45656,-166.61348,566.3766141
51,-159161440,-66674312.91,-632858397.3,26077.805,52783.7575,2432.74342,668.59314,668.59314,668.59314,475480,1318552.5,9143.846154,25356.77885,43237244,2841745.2,60284268,38474310,9.65243E+11,1.09662E+12,6.15974E+12,2.10913E+11,2560.8948,3194.3225,28065.49,353.57346,198711.72,147566.92,769980.06,19719.629,-144.48634,6.3964586,-127.68494,-159.48431,577.9602618
52,-215975950,-66388425.04,-691641737.6,88868.08,115495.2193,8290.315725,53992.71,53992.71,53992.71,484277,1372545.2,9137.301887,25897.08019,41708412,2390475.8,53024070,37853736,8.3341E+11,9.32338E+11,5.87868E+12,2.02235E+11,2240.7993,2268.6313,21161.791,375.1181,218141.22,149750.31,847184.56,30066.684,-134.94273,4.125755,-125.03998,-146.78212,589.035928
53,-143298200,-64974781.37,-611220965.1,51856.76,78405.33741,4837.607754,729.37537,729.37537,729.37537,488812,1373274.6,9052.074074,25431.01157,40530024,2142113.5,48934220,36876188,1.07083E+12,1.1904E+12,6.66468E+12,2.10996E+11,2896.722,3526.5044,26787.865,419.33234,230862.56,158977.2,819853.94,39821.555,-133.2271,4.8188424,-121.17035,-147.72699,601.3581455
54,-181206350,-63736822.13,-649701110.6,104326.305,130796.5712,9732.380928,6318.421,6318.421,6318.421,496489,1379593.1,9027.072727,25083.51136,39888124,2833033.8,57495370,34934776,1.06994E+12,1.34678E+12,7.18056E+12,1.79012E+11,2685.472,2835.3223,19907.363,460.33066,219850.56,164407.55,1108014.4,37994.887,-128.67818,4.0914154,-117.0612,-140.896,612.8529198
